customer_id,signup_month,age,tenure_months,region,channel,plan,sessions_week,avg_session_min,notif_click_rate,support_tickets_3m,discount_pct_3m,late_payments_6m,auto_renew,churn
C100117,6,73,68,East,store,Plus,6,9.64,0.169,0,0.036,0,1,0
C100118,10,40,49,Center,app,Basic,1,6.49,0.339,0,0.139,0,1,0
C100119,24,51,17,North,web,Premium,5,16.53,0.353,0,0.172,1,0,0
C100120,15,43,24,West,app,Premium,3,15.48,0.273,0,0.258,0,1,0
C100121,22,52,45,Center,web,Plus,11,10.79,0.354,0,0.0,0,0,0
C100122,1,43,10,North,app,Basic,7,9.46,0.073,0,0.095,0,0,0
C100123,14,54,19,Center,web,Premium,9,15.65,0.06,0,0.018,0,1,0
C100124,24,49,7,Center,store,Plus,5,13.25,0.181,0,0.11,0,0,0
C100125,19,56,58,North,app,Plus,1,15.88,0.198,1,0.0,0,1,0
C100126,5,72,28,Center,store,Plus,2,11.84,0.0,0,0.0,1,0,1
C100127,19,26,15,North,app,Premium,4,7.79,0.071,0,0.29,0,1,0
C100128,5,50,14,North,app,Basic,2,10.56,0.132,0,0.106,0,1,1
C100129,5,43,30,South,web,Plus,4,15.54,0.129,1,0.042,0,1,0
C100130,8,38,49,North,web,Basic,5,12.0,0.424,0,0.233,0,0,0
C100131,1,31,16,North,app,Premium,3,9.71,0.346,0,0.101,0,0,1
C100132,15,20,15,North,web,Basic,4,9.98,0.094,0,0.0,0,0,0
C100133,13,40,62,Center,web,Basic,6,17.19,0.114,0,0.186,0,0,0
C100134,13,65,1,North,store,Basic,4,14.89,0.165,4,0.05,1,1,1
C100135,23,23,44,South,store,Basic,2,13.54,0.178,0,0.208,0,0,1
C100136,15,41,2,West,store,Plus,4,10.02,0.0,2,0.121,0,0,0
C100137,10,73,45,East,web,Plus,4,4.26,0.081,1,0.201,0,0,0
C100138,2,72,20,Center,web,Basic,7,13.88,0.091,0,0.258,0,0,1
C100139,18,30,23,East,web,Basic,7,3.02,0.0,0,0.092,1,0,1
C100140,18,18,36,East,app,Premium,4,16.6,0.355,1,0.0,1,1,0
C100141,3,56,13,South,web,Plus,4,18.04,0.217,0,0.0,1,1,1
C100142,8,18,52,East,app,Plus,6,15.46,0.203,0,0.088,1,0,0
C100143,5,35,61,Center,app,Premium,7,9.86,0.411,0,0.084,0,0,0
C100144,21,46,31,East,app,Basic,3,13.87,0.455,0,0.159,0,1,1
C100145,19,67,55,South,app,Plus,6,9.35,0.064,2,0.186,0,0,0
C100146,22,23,55,East,web,Basic,6,8.57,0.299,0,0.174,0,1,0
C100147,6,55,53,East,web,Premium,3,10.97,0.163,0,0.038,0,1,0
C100148,14,48,55,North,web,Premium,4,13.63,0.157,1,0.048,1,0,1
C100149,5,25,71,East,app,Basic,3,23.75,0.0,0,0.0,0,1,0
C100150,1,66,17,North,web,Plus,5,13.2,0.001,0,0.0,0,0,1
C100151,13,66,40,Center,app,Plus,7,14.17,0.401,0,0.0,0,1,0
C100152,14,45,68,South,app,Plus,4,7.56,0.111,0,0.066,0,0,0
C100153,14,71,13,East,app,Plus,6,13.37,0.129,1,0.058,0,0,0
C100154,7,52,25,North,web,Basic,6,15.59,0.257,0,0.312,0,1,0
C100155,16,69,44,South,store,Plus,4,15.82,0.232,1,0.0,0,1,0
C100156,22,72,7,Center,app,Plus,2,13.61,0.241,1,0.1,0,0,1
C100157,22,50,21,North,app,Plus,4,9.21,0.192,0,0.01,0,0,0
C100158,10,34,23,Center,web,Plus,5,19.29,0.313,0,0.029,1,0,0
C100159,6,26,37,South,app,Basic,3,14.07,0.185,0,0.066,0,1,0
C100160,22,50,40,North,app,Plus,3,19.42,0.29,0,0.008,0,1,0
C100161,18,28,33,East,web,Premium,4,14.75,0.106,0,0.007,0,0,0
C100162,22,60,58,North,app,Basic,5,17.36,0.348,0,0.134,0,0,0
C100163,3,70,41,Center,store,Plus,8,5.79,0.23,0,0.248,0,1,0
C100164,5,31,53,Center,app,Plus,5,8.76,0.111,0,0.025,0,1,0
C100165,22,49,66,North,web,Basic,5,13.8,0.121,0,0.135,0,0,0
C100166,1,20,41,West,web,Basic,10,15.51,0.196,0,0.006,0,1,0
C100167,5,28,58,West,web,Plus,4,8.94,0.364,0,0.0,0,0,0
C100168,22,39,34,West,web,Plus,3,5.2,0.037,0,0.065,0,0,1
C100169,11,68,30,North,web,Basic,3,18.14,0.243,0,0.0,1,0,0
C100170,20,73,4,East,app,Plus,3,8.53,0.086,0,0.0,0,0,1
C100171,8,54,59,Center,app,Plus,4,16.56,0.191,1,0.176,0,0,0
C100172,18,51,7,Center,web,Basic,2,20.48,0.296,0,0.229,0,1,0
C100173,12,50,62,East,app,Premium,6,10.55,0.0,0,0.081,0,0,1
C100174,18,21,12,North,web,Plus,2,7.84,0.001,0,0.009,0,1,1
C100175,3,39,55,North,web,Basic,4,11.63,0.246,0,0.146,0,1,0
C100176,13,74,70,West,web,Premium,4,16.69,0.073,0,0.15,0,1,0
C100177,2,41,40,Center,store,Basic,7,6.36,0.16,0,0.125,0,1,0
C100178,11,30,55,East,app,Premium,1,13.44,0.206,0,0.08,0,0,0
C100179,14,31,64,Center,web,Plus,9,7.37,0.54,0,0.031,0,0,0
C100180,23,58,60,North,app,Basic,6,6.41,0.128,0,0.159,0,0,0
C100181,7,20,35,Center,web,Basic,1,7.14,0.126,0,0.144,0,0,0
C100182,14,73,65,North,web,Basic,6,10.74,0.096,1,0.043,1,1,0
C100183,11,67,8,North,web,Plus,3,6.65,0.301,0,0.203,0,0,1
C100184,4,50,8,North,web,Plus,2,12.39,0.11,0,0.084,0,0,1
C100185,4,44,20,Center,web,Basic,7,7.27,0.135,0,0.106,0,0,0
C100186,13,61,71,Center,app,Plus,2,7.52,0.165,0,0.0,0,0,0
C100187,17,49,47,Center,web,Plus,5,5.6,0.15,0,0.072,0,1,0
C100188,8,45,14,West,app,Premium,7,14.02,0.201,0,0.004,0,0,0
C100189,11,36,27,East,web,Basic,8,8.81,0.284,0,0.057,0,0,1
C100190,14,43,1,East,app,Basic,2,12.11,0.313,0,0.056,0,1,0
C100191,8,60,31,Center,web,Basic,6,15.0,0.055,0,0.106,0,1,0
C100192,20,21,43,East,web,Premium,6,12.5,0.181,0,0.0,1,0,0
C100193,24,19,29,East,web,Basic,6,11.15,0.17,1,0.005,0,0,0
C100194,23,59,36,South,app,Premium,7,9.85,0.108,0,0.132,0,0,0
C100195,19,39,14,Center,app,Basic,5,7.1,0.0,0,0.0,0,0,0
C100196,20,63,5,North,web,Premium,4,14.38,0.026,0,0.074,0,0,1
C100197,11,19,7,Center,app,Basic,8,11.75,0.44,0,0.202,0,1,0
C100198,3,69,49,Center,web,Premium,4,4.16,0.247,0,0.011,1,0,1
C100199,21,25,4,West,app,Plus,2,9.0,0.156,0,0.0,0,1,0
C100200,13,41,14,Center,app,Plus,5,16.85,0.141,2,0.0,0,0,1
C100201,12,73,48,South,app,Plus,3,13.67,0.0,0,0.0,1,1,0
C100202,4,24,57,West,web,Basic,3,13.26,0.179,0,0.0,0,0,0
C100203,1,55,24,South,app,Basic,4,15.95,0.169,0,0.158,1,1,1
C100204,1,59,35,North,web,Basic,3,4.78,0.143,0,0.0,0,0,0
C100205,12,42,33,Center,web,Basic,3,10.33,0.056,0,0.0,1,1,0
C100206,19,22,55,West,app,Basic,4,10.22,0.252,0,0.056,1,0,0
C100207,24,47,67,North,web,Basic,3,11.64,0.0,0,0.08,0,0,0
C100208,23,42,60,Center,web,Basic,3,15.25,0.029,0,0.115,0,0,1
C100209,10,67,45,South,store,Premium,3,10.64,0.23,1,0.093,0,0,0
C100210,21,56,54,West,app,Plus,4,6.43,0.109,0,0.012,0,0,0
C100211,12,37,58,East,app,Basic,8,10.01,0.343,0,0.022,1,0,0
C100212,17,21,61,East,app,Premium,3,9.71,0.221,0,0.0,0,0,1
C100213,9,51,55,East,web,Basic,2,21.17,0.153,0,0.164,2,1,0
C100214,14,33,51,Center,app,Premium,9,16.46,0.404,1,0.045,0,1,0
C100215,12,56,68,North,store,Plus,4,16.98,0.292,1,0.253,0,0,0
C100216,16,67,26,South,web,Plus,8,18.85,0.346,0,0.075,0,1,1
C100217,5,38,5,North,app,Premium,8,13.08,0.165,0,0.0,0,0,0
C100218,22,69,36,East,web,Basic,5,16.31,0.068,0,0.158,0,0,0
C100219,12,47,28,North,app,Basic,9,15.16,0.048,0,0.037,0,0,0
C100220,8,48,3,North,app,Basic,4,13.96,0.132,0,0.079,0,1,1
C100221,6,61,68,West,web,Plus,5,7.86,0.287,0,0.098,0,1,0
C100222,24,62,70,North,web,Basic,5,19.94,0.303,0,0.0,0,0,0
C100223,22,69,33,South,web,Basic,6,12.82,0.104,0,0.131,0,0,0
C100224,21,74,52,North,app,Premium,2,11.84,0.322,0,0.041,0,0,0
C100225,12,26,68,West,app,Premium,2,15.6,0.153,0,0.192,0,0,0
C100226,12,41,34,North,app,Basic,6,14.07,0.332,0,0.0,0,1,0
C100227,6,71,14,East,app,Basic,1,17.27,0.109,0,0.0,0,1,1
C100228,17,35,9,East,app,Plus,4,9.85,0.175,0,0.137,0,0,1
C100229,2,18,5,Center,app,Basic,2,3.26,0.026,1,0.0,0,0,0
C100230,11,50,5,North,app,Premium,4,6.22,0.486,1,0.06,0,0,0
C100231,5,60,64,North,web,Plus,5,11.92,0.084,1,0.153,0,0,0
C100232,17,60,50,North,app,Basic,5,14.07,0.208,0,0.027,0,0,0
C100233,22,64,30,East,app,Basic,4,19.55,0.12,0,0.0,0,1,0
C100234,9,54,69,South,app,Premium,5,9.77,0.188,1,0.074,0,0,0
C100235,2,25,37,West,app,Basic,5,12.56,0.169,0,0.067,0,1,0
C100236,15,66,27,South,web,Premium,10,8.45,0.261,1,0.066,0,0,1
C100237,20,41,67,South,app,Premium,7,14.41,0.113,0,0.031,0,0,0
C100238,8,66,52,North,app,Basic,1,17.05,0.3,0,0.0,0,0,0
C100239,15,64,16,Center,app,Basic,9,16.66,0.323,0,0.06,0,0,0
C100240,14,73,50,West,app,Plus,4,9.52,0.094,0,0.074,0,0,0
C100241,17,18,69,West,store,Basic,2,8.0,0.285,0,0.081,0,1,0
C100242,5,67,28,Center,web,Basic,3,8.19,0.224,0,0.291,0,1,0
C100243,23,53,29,East,store,Basic,3,13.16,0.0,0,0.059,0,1,0
C100244,2,45,39,East,store,Plus,4,5.34,0.28,0,0.073,0,0,1
C100245,2,63,18,Center,app,Plus,7,18.23,0.147,0,0.13,0,0,0
C100246,11,72,67,North,web,Plus,7,16.09,0.253,0,0.032,1,1,0
C100247,7,47,17,East,app,Premium,11,16.08,0.161,0,0.0,0,1,0
C100248,16,22,58,West,app,Basic,6,10.27,0.206,0,0.0,0,1,0
C100249,3,59,37,West,web,Plus,1,13.92,0.277,0,0.0,0,1,0
C100250,20,31,47,Center,web,Plus,8,19.25,0.271,0,0.095,0,0,0
C100251,15,30,34,North,web,Plus,3,13.14,0.121,0,0.127,0,1,1
C100252,13,28,49,Center,app,Plus,6,16.07,0.0,0,0.147,0,0,1
C100253,11,29,63,North,store,Basic,6,14.06,0.157,1,0.174,0,0,0
C100254,15,69,40,West,web,Basic,8,19.55,0.214,0,0.119,0,0,0
C100255,8,38,4,Center,web,Basic,6,11.13,0.177,0,0.194,0,0,0
C100256,9,24,53,East,web,Premium,3,1.77,0.079,0,0.153,0,1,0
C100257,12,28,4,Center,store,Plus,7,14.25,0.226,0,0.15,0,0,1
C100258,19,40,40,West,app,Premium,7,10.53,0.427,0,0.106,1,1,0
C100259,17,37,11,Center,app,Plus,6,6.35,0.0,2,0.222,0,1,1
C100260,14,35,59,East,store,Basic,2,9.94,0.064,0,0.317,1,0,0
C100261,18,72,44,South,web,Plus,1,8.83,0.173,0,0.0,1,1,1
C100262,19,67,46,East,store,Basic,0,13.56,0.283,1,0.099,0,1,0
C100263,11,50,56,North,app,Plus,8,14.38,0.284,0,0.134,0,1,0
C100264,11,74,18,North,store,Basic,4,8.09,0.294,0,0.025,0,0,0
C100265,13,37,35,Center,app,Plus,6,8.17,0.347,0,0.064,0,0,0
C100266,2,25,15,West,web,Basic,4,16.59,0.37,0,0.015,0,1,0
C100267,13,33,44,West,store,Premium,4,7.71,0.192,1,0.053,0,1,0
C100268,23,23,29,East,web,Basic,3,15.4,0.149,1,0.028,1,1,1
C100269,22,72,46,South,app,Premium,2,10.94,0.0,1,0.187,0,0,0
C100270,15,30,44,North,app,Premium,6,8.11,0.277,0,0.036,1,0,0
C100271,8,43,2,West,app,Plus,5,13.3,0.329,0,0.0,0,0,1
C100272,1,29,15,South,app,Basic,2,11.0,0.178,1,0.144,0,0,0
C100273,13,73,18,South,store,Basic,4,1.0,0.297,0,0.006,1,1,0
C100274,2,27,28,East,web,Plus,6,11.99,0.143,0,0.119,0,0,0
C100275,8,47,71,Center,app,Basic,3,6.42,0.209,0,0.263,0,0,0
C100276,24,72,34,South,web,Basic,4,7.84,0.082,0,0.0,0,0,0
C100277,13,47,24,East,app,Premium,4,1.0,0.426,0,0.181,1,0,0
C100278,4,69,61,East,web,Plus,9,17.45,0.381,0,0.197,0,1,0
C100279,4,69,68,North,app,Plus,9,12.57,0.005,1,0.0,0,0,1
C100280,1,61,21,East,app,Basic,7,8.72,0.218,1,0.246,0,0,0
C100281,21,60,35,West,web,Plus,4,14.27,0.19,1,0.331,0,1,0
C100282,13,50,10,South,store,Premium,6,12.38,0.201,0,0.141,1,0,0
C100283,21,51,16,North,web,Basic,6,10.73,0.304,0,0.1,0,0,0
C100284,9,65,38,West,store,Premium,7,8.59,0.156,1,0.19,0,0,0
C100285,3,42,1,North,app,Basic,8,11.22,0.261,0,0.125,0,1,1
C100286,16,71,52,Center,app,Basic,2,13.39,0.147,1,0.155,0,0,0
C100287,4,68,16,West,web,Plus,7,15.49,0.468,0,0.126,1,1,0
C100288,14,39,37,South,app,Basic,7,10.59,0.125,0,0.082,0,1,0
C100289,20,41,23,Center,app,Premium,3,12.14,0.054,0,0.0,0,1,0
C100290,21,58,18,East,app,Basic,5,14.45,0.234,1,0.237,1,0,1
C100291,11,70,32,South,app,Basic,7,15.64,0.05,0,0.035,1,0,0
C100292,5,23,49,North,web,Plus,7,14.02,0.104,0,0.141,0,0,0
C100293,3,21,32,Center,web,Basic,4,10.3,0.147,0,0.183,0,1,0
C100294,16,32,50,East,web,Basic,7,13.08,0.178,1,0.0,0,1,0
C100295,1,42,39,East,web,Plus,11,12.02,0.206,0,0.121,0,0,0
C100296,4,27,54,North,web,Plus,9,17.01,0.2,1,0.129,0,0,1
C100297,3,47,34,South,store,Plus,6,8.62,0.176,0,0.109,0,1,0
C100298,3,48,43,East,app,Premium,4,14.44,0.294,1,0.225,0,1,0
C100299,19,72,3,Center,app,Basic,8,13.13,0.177,1,0.111,2,1,0
C100300,20,60,13,North,store,Premium,5,11.46,0.277,1,0.039,0,1,0
C100301,9,32,19,Center,store,Basic,5,13.27,0.234,0,0.151,1,0,1
C100302,24,62,41,West,web,Premium,2,9.99,0.245,2,0.239,0,0,0
C100303,2,63,69,East,web,Basic,3,6.89,0.023,0,0.043,1,0,0
C100304,3,56,10,North,web,Plus,3,19.08,0.119,0,0.0,0,1,0
C100305,22,56,2,East,app,Basic,4,17.05,0.273,0,0.175,0,0,1
C100306,23,35,46,South,web,Basic,6,11.65,0.18,1,0.148,1,0,0
C100307,22,58,53,Center,app,Basic,2,18.49,0.053,0,0.0,0,0,0
C100308,13,25,63,Center,app,Plus,5,16.08,0.281,0,0.0,0,0,0
C100309,14,53,34,North,app,Plus,7,8.97,0.261,0,0.0,0,1,0
C100310,21,70,55,Center,web,Basic,6,14.48,0.22,0,0.058,0,0,0
C100311,13,73,51,Center,app,Basic,3,12.21,0.135,0,0.146,0,0,0
C100312,6,34,3,Center,app,Premium,6,10.11,0.276,1,0.237,0,0,1
C100313,5,36,24,West,app,Basic,4,10.98,0.166,1,0.277,0,1,1
C100314,18,53,51,East,web,Basic,7,13.28,0.139,0,0.224,0,1,0
C100315,1,40,27,Center,store,Premium,2,14.65,0.244,0,0.091,0,1,0
C100316,24,59,42,West,app,Plus,5,13.33,0.114,1,0.25,0,1,0
C100317,21,29,37,South,store,Plus,9,11.43,0.268,1,0.178,1,1,0
C100318,20,27,47,West,app,Basic,8,7.08,0.163,1,0.0,0,0,0
C100319,20,20,65,East,web,Basic,6,9.64,0.248,0,0.251,0,1,0
C100320,11,44,62,South,web,Premium,8,14.49,0.021,0,0.026,0,1,0
C100321,3,30,24,East,app,Plus,7,11.58,0.127,0,0.012,1,0,0
C100322,5,35,33,East,web,Basic,4,11.04,0.085,1,0.0,1,0,1
C100323,10,70,7,East,store,Premium,1,10.36,0.019,0,0.0,0,1,0
C100324,9,64,57,West,app,Premium,5,12.29,0.341,0,0.101,0,1,0
C100325,20,65,3,Center,app,Plus,3,7.73,0.131,0,0.147,0,1,0
C100326,9,51,32,Center,store,Basic,11,10.24,0.242,2,0.001,0,0,0
C100327,9,24,63,Center,web,Basic,5,6.17,0.047,0,0.061,0,1,0
C100328,11,60,66,West,app,Premium,6,19.11,0.123,0,0.216,1,1,0
C100329,20,52,23,West,app,Basic,7,13.46,0.404,0,0.0,0,1,0
C100330,20,69,68,Center,app,Premium,6,9.49,0.403,0,0.129,0,1,0
C100331,2,45,9,Center,app,Basic,1,12.43,0.209,0,0.0,0,0,0
C100332,20,27,52,North,web,Plus,2,15.13,0.249,0,0.196,0,0,0
C100333,11,51,43,West,web,Plus,0,20.43,0.0,0,0.108,0,1,0
C100334,15,43,58,South,web,Basic,8,15.88,0.271,0,0.117,0,0,0
C100335,14,55,60,West,store,Plus,5,7.51,0.276,0,0.0,0,1,0
C100336,24,39,31,South,web,Plus,7,13.92,0.288,0,0.228,0,0,0
C100337,9,35,43,South,store,Basic,6,16.68,0.216,1,0.14,0,0,0
C100338,10,25,53,East,app,Basic,8,13.04,0.116,1,0.365,0,1,0
C100339,12,72,11,West,app,Basic,3,5.75,0.058,0,0.058,1,0,0
C100340,23,61,44,East,store,Basic,4,6.77,0.078,0,0.031,0,0,0
C100341,20,44,29,Center,web,Plus,2,21.31,0.078,0,0.106,0,0,0
C100342,9,31,27,South,app,Basic,7,13.72,0.28,0,0.113,1,0,1
